^:<name=sn2 footnote=bk preload=true>	note
1	五至十經除了佛的名稱外，其餘內容跟第四經相同。毗婆尸、尸棄、毗舍浮、拘留孫、拘那含、迦葉、釋迦牟尼稱為“七佛”。佛教有七佛、二十四佛之說。根據佛教的教義，過去與將來的時間無邊無際，所以過去與將來有無量無數佛在世間上出現，若追溯過去最近的七位或二十四位，就稱為七佛或二十四佛。四至十經的內容重複，是說明七佛以至所有佛都是為了要解決生死的問題，從洞悉十二緣起而得覺悟的。
2	“食”(āhāra)原本是指食物，但在法義中引申為生命賴以投生及持續的四種食糧。粗幼摶食是滋養身體的食糧，而觸食、意思食、識食是滋養心識的食糧，對四食起渴愛是導致生死流轉的原因。
3	“世人”的巴利文是“loka”，“loka”原本是“世間”的意思，也指眼、耳、鼻、舌、身、意、色、聲、香、味、觸、法十二處或色、受、想、行、識五蘊，也可從十二處和五蘊之中引申指“個別的人”。根據上文下理，“loka”在這裏是指個別的人，所以把它譯作“世人”。
4	請參閱註 3，在這分段中用了四次的“世間”一詞，應該是指十二處或五蘊。
5	同註 3 。
6	巴利文本沒有“怎樣才可配稱為一位說法者呢？”這句句子，現根據文義補上。
7	佛陀否定“感受和感受者是同一樣東西”和“感受是一樣東西，感受者是另一樣東西”應該是否定“感受者”。就像第十二經所指那樣，深入來說，只有感受的現象而沒有一個感受者。
8	“身”的巴利文是“kāya”，“kāya”原意是“堆積”，由此可引申出幾種不同的意思。一、  指“身體”，身體由地、水、火、風四大元素堆積而成，所以“kāya”一詞多指身體。二、  指“身命”，身命由身心多種要素如色、受、想、行、識五蘊堆積而成，所以“kāya”亦指身命。三、沒有專指，純粹用作堆積的意思，如在第二經之中的“六識身”，識由眼識、耳識、鼻識、舌識、身識、意識堆積而成，所以稱為“六識身”；其餘“六愛身”、“六受身”、“六觸身”意思亦同。而第十九經這裏的身是指身命。
9	思(sañcetanā / cetanā)是一種“意向”、“意志”的心理活動，這種心理活動跟“行”和“業”連接。在身、口、意之中起思，便會帶來身行、口行、意行，之後便會造善惡業而受苦樂。
10	巴利原文在這裏和下兩段是沒有“具有學智”(sekhena ñāṇena samannāgato)這詞語的，現參照第二十七經而補上。
11	這篇經文和第十三經的內容相同，分別只是第十三經用“知/知道”(paj ānāti)這個詞語，而這篇經文用“遍知”(parij ānāti)這個詞語。“遍知”有“徹底知道”的意思，常指佛陀和阿羅漢對法的認知。
12	《彼岸道品．阿耆多問》收錄在《小部》第五冊《經集》之中。
13	認為有一個“我”在老死之中，或認為有一個“我”在老死之外，兩者的用詞雖然不同，但同樣都是認為有一個“實我”的存在。佛教稱這為“我見”或“見”。“我見”也包括“命就是身體”或“命在身體之外”這兩種“見”。持“命就是身體”這種“見”的人，認為有一個實體的“命”的存在，它和“身體”是同一樣東西，當身體死亡時這個命也隨即消失。所以，持“命就是身體”這種見的人會認為人死如燭滅，不會覺得有需要去修習八正道來止息生死。此外，持“命在身體之外”這種“見”的人，認為當人死之後這個實體的“命”便脫離身體的束縛，獨立地存在，他也是不會覺得有需要去修習八正道來止息生死。
14	“命”(j īvita)一般是“身命”、“壽命”、“謀生活命的方式”等意思，但在這裏是指與“身”相對的“心”。
15	如果對粗幼摶食及其餘三食愛著，生命便會不斷延續及不斷投生，因此不能解脫生死，所以佛陀用子肉及其餘三個譬喻，勸勉比丘正確看待四食，使比丘明白四食的本質及對四食不起愛著。
16	即得到三果。
17	即得到四果。
18	“依”(upadhi)又譯作“億波提”或“優波提”，它指“貪欲”、“五蘊”、“污染”或“行”等東西。當生命有了“貪欲”、“五蘊”、“污染”或“行”等作為依靠，便可以得到投生與延續。
19	三十六個地方可能是指無明至老死十二個地方乘以說法的比丘、依法而行的比丘、現生得到湼槃的比丘三種層次的比丘合共成為三十六；也有可能是指無明至老死十二個地方乘以厭離、無欲、息滅三種質素合共成為三十六。
20	註釋說茂師羅尊者是三果聖者。茂師羅尊者因為高於初果，所以不是以敬信、願欲、傳統、推想、所受持的見等來明白緣起的道理，而是對緣起已有深入的體悟，但當被問到是否阿羅漢時，他沉默不語以表示不是阿羅漢。
21	須深這樣問，是以為得到究竟智的阿羅漢必定擁有神通智、天耳智、他心智、宿命智、天眼智，必定取得無色界的定境。但是，那些比丘是慧解脫的阿羅漢，只有漏盡智而沒有以上的體證。
22	在七十一至八十一經十一篇經文之中，除了由老死至行十一個緣起的環節外，其餘內容全部相同。在巴利文本之中，這十一篇經文都沒有經名，只有《第八沙門婆羅門品》的品名。
23	閻浮提(Jambu-dīpa)指整個印度，或指整個我們所居住的世間──地球。
24	“為這一生的母親及過去生每一位母親”原巴利文的句子是“Ayaṃ me mātā  tassā me mātu ayammātā ti”，原意是“這是我的母親，這是我母親的母親”，即是說為母親、為祖母、為曾祖母等等而一一下籌。這裏根據前後的經義及參考漢譯本經文的意思而不跟隨原文。
25	跟上一篇經文一樣，這裏的原意是“這是我的父親，這是我父親的父親”，這裏也是根據前後的經義及參考漢譯本的意思而不跟隨原文。
