^:<name=mn1 footnote=bk preload=true>	note
1	這裏的“所有法的根源”(sabba-dhamma-mūla)是指“所有苦、有、生、老死的根源”。在經文之末指出，“愛喜”(nandī)是苦的根源，是有、生、老死的根源 。解釋“愛喜是苦的根源”是這篇經文的主旨。
2	“他帶著顛倒想來認知地”這句的巴利原文是“paṭhaviṃ paṭhavito sañjānāti”， 其中的“sañjānāti”有“認知”、“帶有想的認知”、“想像”等意思；所以，若直譯這句的話，就是“從地之中，他帶著‘想’來認知地。”在古代漢譯本的《中阿含經．一零六．想經》之中，與此相應的句子是“於地有地想。”
3	遍知(pariññāta )有“徹底知道”的意思。從這篇經文所見，阿羅漢和佛陀才有這種遍知。
4	“他正確認知地”這句的巴利原文是“paṭhaviṃ paṭhavito abhijānāti”，其中的“abhijānāti”有“證知”、“最高的知道”、“直接知道”等意思 ；所以，若直譯這句的話，就是“從地之中，他直接知道地。”在《想經》之中，與此相應的句子是“於地則知地。”
5	巴利文本沒有“賢友們，什麼是導師安住於遠離而弟子不跟隨修學遠離呢 ？”這句句子，現根據文義補上。
6	印度人相信一些樹木以至森林有鬼神寄居，所以以它們為膜拜的對象。
7	觀想晚上為白天其中一個作用是對治對黑暗的恐懼，但這是一種逃避黑暗而非直接面對黑暗的方式。
8	“親身體驗禪定的樂”(diṭṭha-dhamma-sukha-vihāra)古譯為“見法樂住”或“現法樂住”。其中的“diṭṭha-dhamma”的意思是“眼前可以看到的東西”，即是指“當下”、“現生”。若直譯整個詞語，“diṭṭha-dhamma-sukha-vihāra”就是“安住在眼前可以看到的樂之中”。
9	“悲憫後來的人”是佛陀以身作則，勉勵以後的比丘居住在森林來修行。
10	在《中阿含經》八十七《穢經》的文義之中，垢穢一者是指“憤怒和失望”，二者是指“不想被人知道自己犯戒”、“不想比丘在僧團中檢舉自己”，以至“想自己而不是別人取得上好的衣服、食物、住處、醫藥用品”等不善意欲。
11	經文在這裏開始的六個段落分別講述“六無比智”，在原文中對前五種無比智還有進一步的描述經句，但若把這些經句放入一個分句裏會使句子變得非常累贅，所以在這裏把這些經句省略，讀者可在《七十三．大婆蹉種經》的尾末部分找到這些描述的經句。
12	以上的河、渡口與池是婆羅門教視為聖潔的地方。人們常到那裏沐浴，希望清洗自己的罪業。
13	“漸損”的巴利文“sallekha”有“刻去”的意思。從經文的上文下理中可知它是指“刻去不善法”，即令不善法逐漸減損。
