^:<name=sn4 footnote=bk preload=true>	note
1	在《相應部》的註釋《精義顯揚》之中解說，這篇經文 中的“無常”也通於“苦”與“無我”。
2	“三者”是指根(眼、耳、鼻、舌、身、意)、境(色、聲、香、味、觸、法)、識(眼識、耳識、鼻識、舌識、身識、意識)三個地方。當這三個地方在一起時便會有“觸”(感覺官能的體驗)的產生。
3	這裏的原文沒有清楚說明所指的內容，可能是舍利弗尊者指車匿尊者過多地跟那些族人交往。
4	在跟這篇經文對應的漢譯本《雜阿含經．二三四經》之中，阿難尊者為比丘解說的法義比較清晰明確，而且還有一段偈頌，當中的經文是“諦聽善思。今當為說。若世間。世間名。世間覺。世間言辭。世間語說。此等皆入世間數。諸尊。謂眼是世間。世間名。世間覺。世間言辭。世間語說。是等悉入世間數。耳鼻舌身意 。亦復如是。多聞聖弟子。於六入處。集滅味患
5	在《相應部》的註釋《精義顯揚》之中解說，地獄過苦天界過樂，都不及人間的修行條件好。
6	按經中的上文下理，可知這裏的“弟子”與“老師”是“惡不善法”的借喻。弟子其中一種特質，是跟老師一起居住；老師其中一種特質，是帶領弟子行踐。
7	大目犍連尊者出身於婆羅門種姓。
8	伊尸達多尊者是因為避免過度的供養與聲譽而離開摩師山的。下篇經文提到的摩訶迦尊者也是一樣。
9	在巴利原文之中，這篇經文和下一篇經文都附有很多段落數目，為了令譯文暢順及使重複的經文簡潔，譯者對一些段落數目作出了取消、修改與移位。
10	“超於常人的法及聖者的知見與修證”(uttarimanussadhammā alam ariyañāṇadassanavisesaṃ)在經中是一個常用的短語，這個短語所指的內容對佛教的修行者來說，是涵括了各種禪定(尤其是深定)與六種無比智的。但對外道來說，因為外道也能取得深定，也能取得神通智、天耳智、他心智、宿命智、天眼智等前五種無比智，但不能取得漏盡智，所以這個短語若用在外道身上，所指的內容應是排除了“聖者的知見與修證”的部分，只有“超於常人的法”那部分的禪定與前五種無比智。
