^:<name=sn1 footnote=bk preload=true>	note
1	在《相應部》的註釋《精義顯揚》(Sāratthappakāsinī)之中說，斷(除)的五法是指五下分結：身見、疑惑、戒取、貪欲、瞋恚。(捨)棄的五法是指五上分結：色界貪、無色界貪、我慢、掉舉、無明。修習的五法是指五根：信根、精進根、念根、定根、慧根。五依附是：貪欲依附、瞋恚依附、愚癡依附、慢依附、見依附。
2	在《註釋》中說，佛陀只是展現微笑而不是接受天神的懺悔，原因是那些天神起初認為佛陀是一個虛偽的修行人而攻擊他，之後向佛陀懺悔都只是認為佛陀跟那些天神同等，不知佛陀是一位最高的聖者，因為天神懺悔的想法與心態跟事實不乎，所以佛陀在這裏沒有接受天神的懺悔。在之後的偈頌中當佛陀讓天神明白到自己是一位最高的聖者後，才接受天神的懺悔。
3	在《註釋》中說，提婆達多在靈鷲山上推下大石來謀害佛陀，但大石在中途撞擊另一大石後成為碎石，其中一塊碎石擊中佛陀的腳。
4	在《註釋》中說，內有十二流的深海是指內外六處，一根是指無明或是渴愛，二旋渦是指常見與斷見，三垢是指貪欲、瞋恚、愚癡，五長路是指五欲。
5	有關伽提迦羅與佛陀過往生的事跡，可參閱《中部．八十一．伽提迦羅經》。
6	巴利文“世間／世”(loka)的含義較廣，它除了指外在的“世界”之外，也包括指內在的“各別每個眾生”。在這裏，世間的含義尤其重於後者：眾生由內六處所組成，內外六處是眾生喜歡習
7	當竹開花結子之後便會死去。竹的開花結子出於竹子自身，但又對竹子自身造成傷害，比喻貪、瞋、癡出於眾生自身，但又為眾生自身造成傷害。
8	日族(Ang īrasa)是佛陀所屬的宗族，這裏是指佛陀。
9	多那(doṇa)是份量的單位，兩次用雙手來盛載之量為一多那。
10	四兵是象兵、馬兵、車兵、步兵。
11	在《註釋》中說：超越五流指超越前五處眼、耳、鼻、舌、身五個根門所帶來的污染，而超越第六流是指超越意這個根門所帶來的污染；此外，五流亦視作五下分結，第六流亦視作五上分結。
12	“明”(vijjā)有“知識”的意思，婆羅門的知識是他們的《吠陀》(veda)典籍，早期主要的《吠陀》有三部，所以通曉三部《吠陀》是婆羅門的“三明”。而佛教的知識是“四聖諦”，在四聖諦之中取得最高的成就就是取得“漏盡明”，還有其次的“宿命明”和“天眼明”。因此“宿命明”、“天眼明”、“漏盡明”是佛教的“三明”。
13	“自恣日”(pav āraṇā)是雨季安居後，僧團所舉行一年一度的集會，與會中每一位比丘都會請長老比丘指出自己的錯處，目的是請別人找出自己不易察看得到的過失。
14	在《註釋》中說，那位比丘是一位漏盡比丘，因長途化食後需要休息，天神因他睡眠而認為這是放逸而警策他，於是那位比丘以偈頌說明，出家修行的意義在於清除各種漏，在於取證湼槃。
15	在《註釋》中說，獵豹是一個愚鈍的獵人，即使迦葉種尊者對他說法甚至施以神通燃亮手指，他也只是一心想著獵物；天神對迦葉種尊者的警策只是著他不用白廢心機。此經可對照《雜阿含經．一三三九經》(  《大正藏》第二冊三六九頁 中、下) 。
16	在《註釋》中說，這時佛陀剛入滅，大迦葉尊者著令阿難尊者進入山林精進修行，以取得最高的果證然後參與結集；阿難尊者前往山林住下來，第二天入村化食時人們看見他，於是日夜都有人前往阿難尊者的住處，阿難尊者很多時都在安撫在家人，所以天神前來警策他，著他心向湼槃。
17	在《註釋》中說，那位比丘在那個家族化食的第一天便證得阿羅漢，而那個家族對那位比丘十分尊敬，邀請他長期受供，他出於感恩而讓那個家族種福，所以長期到那個家族中去。可作對照的《雜阿含經．一三四四經》(  《大正藏》第二冊三七零頁 中)則有所不同，內容是比丘跟長者婦嬉戲而起惡名聲，那位比丘因此而想自殺，天神化作那位長者婦而勸誡那位比丘，那位比丘之後成為阿羅漢。
18	命(j īva)有“生命”、“活命”、“心理活動”、“生命中一個常恆的實體”等意思。根據經文的上文下理，這裏應是第三種的意思，即相對於物質色身的“心理活動”。
19	可作對照的《雜阿含經．一三二五經》(  《大正藏》第二冊三六四頁上、中)內容有些不同，大略是優婆夷的兒子受八戒時犯戒而被夜叉所捉，經優婆夷的請求後夜叉便放人，之後優婆夷的兒子出家但又還俗，所以優婆夷因此而哭，她的兒子最終再出家，之後成為阿羅漢。
20	可作對照的《雜阿含經．一一一八經》( 《大正藏》第二冊二九六頁上、中)內容比較詳細，該經前半部跟這篇經文相若，而後半部當毗摩質多阿修羅王問准其他阿修羅時，其中一個阿修羅對毗摩質多阿修羅王說，帝釋天的個性正直，不懂欺詐，只要騙他說，學這種幻術會墮落地獄及長期受苦，帝釋天便會不想學，而且他也不會不醫治毗摩質多阿修羅王的。於是，毗摩質多阿修羅王就這樣欺騙帝釋天，帝釋天聽後果然不想學，也治好了毗摩質多阿修羅王。接著佛陀對比丘說，帝釋天“長夜真實不幻不偽賢善質直”而比丘身為出家人，也應“不幻不偽賢善質直”。
