^:<name=dn2 footnote=bk preload=true>	note
1	淨居天一共有五個，由低至高分別是無煩天、無熱天、善現天、善見天、色究竟天。淨居天是只有三果聖者才能在那裏投生的地方，三果聖者在該處投生，在該處入滅，不會再返回我們這個欲界的世間投生。
2	在巴利原文中，人名常常由多於一個字詞組成。為了清晰起見，在字詞與字詞之間加上間隔號“．”來分隔。另外，在經文中的人名很少用“前面是名，後面是姓”的排列方式的，如阿闍世．韋提希子(Ajātasattu Vedehi-putta )  ：阿闍世是名字；他母親的名字是韋提希，所以稱為韋提希(之)子。純陀．鐵匠子(Cunda Kammāra-putta ) ：純陀是名字；他的父業是鐵匠，所以稱為鐵匠子。如來．阿羅漢．等正覺(Tathāgata Arahant Sammā-sambuddha)都是佛陀的稱號，三個字詞連用一起表示對佛陀的尊敬。
3	三十三天之中有一位天神名叫毗首羯磨，他的建築技術出神入化。經文這裏佛陀形容須尼陀和雨行有極佳的築城技術。
4	硬食物是需要用牙齒咬開來吃的食物，如甘蔗、餅乾等；軟食物是放進口來咀嚼的食物，如飯、粥等。
5	阿羅漢至世尊是十個佛陀的稱號，漢傳佛教傳統上稱之為“如來十號”。在《長部》的註釋《吉祥悅意》中，引《清淨道論》將無上士和調御者合為“無上的調御者”而共成為九號。
6	菴婆巴利以車和離車人相碰，是一種開玩笑的表達形式，以此抒發僧團接受她供養的歡悅。
7	甩手指是把手指使勁一甩，以宣示內心一種強烈的感受。在這裏宣示的是受挫的感受。
8	島嶼的巴利文是 dīpa 。Dīpa 亦可解作“燈”，所以在這裏也有人譯作燈的：“你們要做自己的明燈，做自己的皈依處，不要以其他地方為皈依處；以法為明燈，以法為皈依處，不要以其他地方為皈依處。”這兩種譯法都不失喻意。
9	“劫”(kappa)有“時段”的意思，通常指一個世間的生滅周期為一劫，但這裏的一劫是指人的壽元，這個時段約一百年。
10	“可量”可指“生死”，“不可量”可指“湼槃”。
11	草藥星的巴利文是 osadhi-tārakā，它所指的是哪顆星沒有定論，一說它是黎明時分在東方一顆最明亮的星，一說金星，一說月亮。
12	無比智(abhiññā)傳統漢譯為“神通”或“六神通”。
13	大象觀看身後的事物時要全身作一百八十度的轉向。經文中說佛陀像大象那樣觀看毗舍離，是指佛陀轉過身來觀看毗舍離。
14	四大教法是指以法和律作為標準來衡量“四”種所傳的“教法”。
15	阿含(āgama)有“教典”的意思。漢譯本的原始佛教經典就是稱為《阿含經》或《阿笈摩》的。
16	巴利文 kammāra 可指鐵匠或金匠。在《吉祥悅意》中，說純陀為金匠。
17	巴利文 sūkara-maddava 是一個富爭論性的詞語，在《吉祥悅意》中的解釋是“不太老、不太嫩的豬的肉”，但也有學者指是一種“菌菇類食物”。在漢譯本《遊行經》所記載的是“栴檀樹耳”，見《大正藏》第一冊十八頁中。
18	阿羅邏．迦藍(Āḷāra Kālāma)是一位教授禪修的外道。悉達多太子(覺悟前的佛陀)在尋師訪道期間曾跟隨這位大師學習禪修。
19	一隻腳比另一隻腳高些是避免腳眼雙疊而產生痛楚。
20	當時印度的習慣，人在臨終時頭向北方躺臥。
21	巴利原文在這裏用 Bhagavā (世尊)而不是 bhante(大德) 。現根據上文下理改用“大德”。
22	婆舍多是拘尸那羅人的族姓。
23	巴利文 atta-dutiyo 直譯的意思是“自己是第二人”。意思可理解為“和另一人”或“自己是第一也是第二人──即自己一人”。
24	沙門、第二沙門、第三沙門、第四沙門是指初果沙門、二果沙門、三果沙門、四果沙門。
25	巴利文 nāparaṃ itthattāya 可解作“沒有下一生”或“修行上再沒有要做的東西”。
26	“把大衣覆蓋一邊肩膊”的巴利文是 ekaṃsaṃ cīvaraṃ karoti，傳統漢譯為“偏袒右肩”，是比丘向佛陀作禮的一種禮儀。
27	巴利文舍利 sarīra 有“身體、骨、遺骸”等意思。火化後的舍利就是遺骨了。
28	多那(doṇa)是份量的單位，四手掌所盛載之量為一多那。
29	閻浮提(Jambu-dīpa)一般指整個印度或我們的世間，但在這首偈中所指的閻浮提並不包括羅摩村。羅摩村在當時是印度最東北的地方。
30	《吉祥悅意》指出，第二十八段整首偈頌都是後期在斯里蘭卡編加入去的。
31	以下各個段落的偈頌除了佛陀的說話之外，也穿插著一些以第三者角色(阿難尊者或其他人)的旁述，還有天眾與魔羅的說話等。當中可從開關引號與文字的內容分辨出來。
32	拘韋羅(Kuvera)是毗沙門的另一個名稱。
33	憍尸迦(Kosiya)是帝釋天的另一個名稱。
34	以下各個段落的偈頌除了喬波迦天子的說話之外，也穿插著一些以第三者角色的旁述，還有帝釋天與天眾的說話等。當中可從開關引號與文字的內容分辨出來。
35	婆娑婆( Vāsava)是帝釋天的另一個名稱。
36	“界”(dhātu)是一個涵義廣的詞語，根據上文下理，這裏的界是“性向的類別”、“傾向的類別”的意思。
37	印度的傳統文化，有將日月神格化為日天子與月天子兩位天神。
